Statement,Label
Wallet belongs to a scammer,FALSE
"ok this is a scammer account&lt;br&gt;I ask you to return the money, I paid him 0 077 ether Reported :) etherscan@post .com I don't care that 0.05 ETH I just left here the comment if someone else check him before pay then can catch this guy a scammer with this account. I recommend you contact ethereumcommunity273@gmail.com to help get a refund You got scammed too? Report I recommend  you contacting ethereumcommunity273@gmail.com  to get your refund back to your wallet Report to ethereumcommunity273@gmail.com  to get your recovery This account scammer, don't pay to him!",FALSE
Contact cybershark591@gmail.com Contact the official Ethers scan  support center to revoke this transaction immediately etherscanner@consultant com SCAM! stole NFT!,FALSE
"SCAM ACCOUNT SCAMMER ACCOUNT, REPORT TO THE AUTHORITIES WATCH OUT FOR THIS SCAMMER",FALSE
SEND MONEY BACK. I NEED IT PLEASE 0.78 ETH 0xbEa851CbE0892106A65425EC971011627a12DdEe Send my money back. You don't need it. Please send my money back :((( Please give my money back. I was in VSHIBA. 0. 78 ETH SCAM COIN.,FALSE
"Hey you how did u do that Get my Back ETH. This is the second time happen to me First was my AXS . Can we do something about this Hi Bro, are you able to get back your eth from him? Same with me. I don't know how it happened. When I'm 100% sure I put my ronin address and not yours. Please transfer back my eth to my ronin address ronin:89a8e45b459be42d8b93a585b9409369d2b69114&lt;br&gt;And this is the transaction hash for your referrence&lt;br&gt;0x523b30f6402e52ce9ccc188846d721a47cb751a6e047c57a94a65c814c5c751c 0x999C7eF41B6E8FA7442e7492cB9E2B8152745bF4 this is my address. We both know that I didnt make the transfer. pls just try getting from accounts that has a larger amount of eth hi can you please give back my eth its supposed to be my initial investment in axie. Thats part of my savings and I would only need 1 more axie that I was supposedly going to buy already a while ago. just get eth from accounts that has large values. mine is only 0.14. tnx id like to ask how my eth got transferred from my account to yours? yo",FALSE
Scammerâ€™s wallet,FALSE
Ethereum token explorer hello bro p;slslsss      plslsss requst hai return my hydro tokan plssss friend hello bhai plss return my hydro yr plss u stol excess hhydro  pls  bro i requst bro pls return  my hydro  bro pls   fully requst  hai bro pls  return  my hydro  bro pls broooo plss  request  hai  bro my hydro  return  &lt;br&gt;pls   07882216108 this is my no. bro  pls &lt;br&gt;m indian  nd  i never cheat  any one so why u cheat  me  pls  bro  return my  fund bro  pls some  hydro   return me  pls i requst yr bro  pls broo plss s atleast reply  me  plss bro  plsss plss  bro  pplsss  me requst u yr  pls  retunt  my hydro  tokan   plsss  bro  plssssss  pls pls  0x3316A3a5aa3775c1Cbf43BE3f0635b7766DBD4ba  this is my  address bro pls plsssss bro plsss returrn my hydro tokan pls pls  + plssss broo   plsss plssss bro plsss  retun  my tokan  pls return my eosdac...!!!! 0xcDA66eD00c35eA4dC345a638d71B66fa52A79E74 come back my UTN-P are money I worked are the result of sacrifice Fuck u beach son,FALSE
"Nice steal my NUGS and ETH from me, man.. Could you please return it?",FALSE
dm to recover your tokens ⬇️whatsapp- +994 40 217 0516,FALSE
"Hello El, were you robbed too?You should report scam and get your funds back. Contact antiersolutions9@gmail.com now! They would help right away They helped me get my funds back from this thieves. They should help You’re a scammer you tried stealing my savings meant for my hospital bills. Luckily for my I report the transaction to antiersolutions who helped me recover my funds. If you’re a victim of this scammer, contact antiersolutions9@gmail.com immediately. They would help right away. Be careful out here. They assisted me recover my funds back ok cool Contact cybershark591@gmail.com yes he got robbed could you please create a new address and share to us in mail&lt;br&gt;mail : gpuminepool@mail.io@@Elmatador Hello Elmatador, you were robbed too? @ElmatadorYou can reach the GPU mine pool, they helped me to get my hacked funds back, &lt;br&gt;reach them on mail , they can recover it&lt;br&gt;mail : gpuminepool@mail.ioas they mentioned u can check chat in your ENS addresscheck blockscan chat in your ENS address&lt;br&gt;https://chat. blockscan .com/index?a=0xde5cb490f13cb765d2518a366ad394d8751ebe50 @@ElmatadorYou can reach the GPU mine pool, they helped me to get my hacked funds back, &lt;br&gt;reach them on mail , they can recover it&lt;br&gt;mail : gpuminepool@mail.io @@Elmatadorcould you please create a new address and let us know, since this is hacked we can use a new address to get the funds back&lt;br&gt;mail ;  Gpuminepool@mail.io @@Elmatador &lt;br&gt;Could you please use contract function to claim your funds back&lt;br&gt;you can reach us in mail , we can assist you&lt;br&gt;mail : Gpuminepool@mail.iohave sent a chat request in blockscan from the deployer address&lt;br&gt;please join chat ASAPhttps://chat. blockscan .com @@ElmatadorCould you please use contract function to claim your funds back&lt;br&gt;you can reach us in mail , we can assist you&lt;br&gt;mail : Gpuminepool@mail.iohave sent a chat request in blockscan  from the deployer address&lt;br&gt;please join chat ASAPhttps://chat. blockscan .com/index?a=0x6a642e5d347d1f6bdbd5ce7c7004d21d0e97921d @@ElmatadorCould you please use contract function to claim your funds back&lt;br&gt;you can reach us in mail , we can assist you &lt;br&gt;mail : Gpuminepool@mail.io Hey everyone here spam and fake &lt;br&gt;‪+1 (705) 413‑2898‬ Whatsapp here for more possibilities to get back your amount Heycan you check chat in blockscan, i have sent a chat request in Blockscan to lucasguzman.ethPlease check and respond back, have sent a chat request with the steps to claim the funds back from contracthttps://chat .blockscan. com/index?a=0x6a642e5d347d1f6bdbd5ce7c7004d21d0e97921d Hey @Elmatadorcan you use contract function to get the funds back&lt;br&gt;Etherscan- contract-claim() function or mail : Gpuminepool@mail.iocan you confirm your wallet address Hey @@Elmatadorcan you use contract function to get the funds back&lt;br&gt;Etherscan- contract-claim() function or mail :  Gpuminepool@mail.io they can help to recover back now hello reach support asap at cyberrecover111@gmail.com please send me back my money. You stole from me.",FALSE
Scammer,FALSE
Hello im looking to buy your land plot 46815 in Abyssal Basin. Add me on Telegram Nixatar,FALSE
&lt;b&gt;&lt;i&gt;Tsuzuki inu reunion&lt;/i&gt;&lt;/b&gt;&lt;br&gt;&lt;br&gt;Tutorial that teaches you how to make a Uniswap BOT Beginner Friendly Auto 100x ETH Profit.&lt;br&gt;&lt;br&gt;Its free and valid. Run your own bot and make huge profits (No Downloads) Updated 01/15/2022&lt;br&gt;&lt;br&gt;Proof and How-to :&lt;code&gt;https://youtu.be/Jjb6DTdLPkU&lt;/code&gt;&lt;br&gt; &lt;br&gt;&lt;b&gt;&lt;i&gt;Tsuzuki inu reunion&lt;/i&gt;&lt;/b&gt;,FALSE
